	43.00	45.99	48.99	51.98	54.98	57.97	60.96	63.95	66.93	69.92	72.92	75.86	78.81	81.76	84.54	87.33	90.18	92.09	93.46	93.84	93.96	92.25	89.81	87.24	84.50	81.64	78.75	75.83	72.87	69.90	66.91	63.93	60.94	57.96	54.97	51.97	48.97	45.98	42.98	40.00
	43.00	46.00	49.00	51.99	54.99	57.99	60.99	63.98	66.98	69.98	72.97	75.96	78.94	81.93	84.87	87.80	90.74	93.46	95.23	96.52	95.37	93.16	90.49	87.68	84.80	81.86	78.90	75.93	72.95	69.96	66.97	63.97	60.98	57.98	54.99	51.99	48.99	45.99	42.99	40.00
	43.00	46.00	49.00	52.00	55.00	58.00	61.00	63.99	66.99	69.99	72.99	75.99	78.98	81.98	84.96	87.94	90.92	93.84	96.52	96.76	95.78	93.48	90.74	87.86	84.91	81.94	78.96	75.97	72.98	69.99	66.99	63.99	60.99	57.99	55.00	52.00	49.00	46.00	43.00	40.00
	43.00	46.00	49.00	52.00	55.00	58.00	61.00	64.00	67.00	70.00	73.00	76.00	78.99	81.99	84.99	87.98	90.98	93.96	95.37	95.78	94.89	93.34	90.77	87.91	84.96	81.97	78.98	75.99	72.99	69.99	67.00	64.00	61.00	58.00	55.00	52.00	49.00	46.00	43.00	40.00
	43.00	46.00	49.00	52.00	55.00	58.00	61.00	64.00	67.00	70.00	73.00	76.00	79.00	82.00	85.00	87.24	90.06	92.25	93.16	93.48	93.34	92.17	89.74	86.91	84.72	81.92	78.98	75.99	73.00	70.00	67.00	64.00	61.00	58.00	55.00	52.00	49.00	46.00	43.00	40.00
	43.00	46.00	49.00	52.00	55.00	58.00	61.00	64.00	67.00	70.00	73.00	76.00	78.25	81.06	83.26	85.88	87.98	89.81	90.49	90.74	90.77	89.74	87.37	86.07	83.70	80.90	77.97	75.74	72.93	69.98	67.00	64.00	61.00	58.00	55.00	52.00	49.00	46.00	43.00	40.00
	43.00	46.00	49.00	52.00	55.00	58.00	61.00	63.25	66.06	69.02	72.00	74.25	76.88	79.73	81.75	83.66	86.16	87.24	87.68	87.86	87.91	86.91	86.07	84.03	81.43	79.33	77.33	74.77	71.93	68.98	65.99	63.00	60.75	57.94	54.98	52.00	49.00	46.00	43.00	40.00
	43.00	46.00	48.25	51.06	54.02	57.00	59.25	61.88	64.73	67.69	70.67	72.73	75.40	77.53	80.07	81.93	83.77	84.50	84.80	84.91	84.96	84.72	83.70	81.43	80.22	77.89	75.30	72.52	70.36	67.58	64.64	62.41	59.79	56.93	53.98	50.99	48.00	45.75	42.94	40.00
	43.00	44.50	46.94	49.75	52.69	55.67	58.48	61.34	63.52	66.30	68.49	71.06	73.86	75.85	77.73	79.42	81.05	81.64	81.86	81.94	81.97	81.92	80.90	79.33	77.89	75.44	73.44	71.49	68.96	66.14	63.20	61.15	58.49	55.60	52.65	49.66	47.41	44.79	41.93	40.00
	40.00	43.37	46.33	49.27	51.49	54.29	57.19	59.38	61.98	64.82	66.83	69.47	71.58	73.36	75.02	77.36	78.35	78.75	78.90	78.96	78.98	78.98	77.97	77.33	75.30	73.44	71.72	69.30	66.57	64.43	62.41	59.89	57.09	54.17	51.21	48.97	46.35	43.53	40.62	37.00
	40.00	42.34	45.17	47.36	49.96	52.81	55.75	57.78	60.44	62.56	65.10	67.14	68.93	71.32	73.09	74.86	75.55	75.83	75.93	75.97	75.99	75.99	75.74	74.77	72.52	71.49	69.30	66.65	65.30	62.93	60.33	57.56	55.41	52.65	50.46	47.86	45.05	42.15	39.19	37.00
	37.00	40.59	43.69	46.51	48.62	51.36	53.53	56.08	58.88	60.86	62.74	65.22	67.04	68.84	70.48	72.09	72.66	72.87	72.95	72.98	72.99	73.00	72.93	71.93	70.36	68.96	66.57	65.30	63.15	60.52	58.46	56.50	53.98	51.16	48.40	46.32	43.59	40.68	38.47	37.00
	37.00	39.40	42.27	44.45	47.02	49.84	51.84	54.48	56.59	59.11	60.96	62.80	64.46	66.07	67.64	69.18	69.71	69.90	69.96	69.99	69.99	70.00	69.98	68.98	67.58	66.14	64.43	62.93	60.52	59.26	56.93	54.36	51.58	49.44	47.46	44.94	42.13	39.20	37.17	34.00
	37.00	38.35	40.91	42.84	45.46	47.58	50.10	52.90	54.87	56.75	58.43	60.06	62.38	63.36	64.75	66.23	66.74	66.91	66.97	66.99	67.00	67.00	67.00	65.99	64.64	63.20	62.41	60.33	58.46	56.93	54.47	52.46	50.51	47.99	45.36	42.58	40.43	38.41	35.89	34.00
	34.00	36.59	38.62	41.12	43.89	45.87	48.49	50.60	52.37	54.03	56.36	58.10	59.87	60.56	62.58	63.45	63.80	63.93	63.97	63.99	64.00	64.00	64.00	63.00	62.41	61.15	59.89	57.56	56.50	54.36	52.46	50.73	48.31	45.57	43.48	41.52	38.99	36.35	33.56	31.00
	31.00	34.65	36.82	39.48	41.59	44.12	46.15	47.94	50.33	52.09	53.86	55.49	57.09	58.41	60.00	60.61	60.85	60.94	60.98	60.99	61.00	61.00	61.00	60.75	59.79	58.49	57.09	55.41	53.98	51.58	50.51	48.31	45.65	44.31	41.95	39.37	36.59	34.48	32.51	31.00
	31.00	32.66	35.12	37.90	39.87	41.75	44.22	46.04	47.84	49.48	51.09	52.64	54.18	55.65	57.16	57.69	57.89	57.96	57.98	57.99	58.00	58.00	58.00	57.94	56.93	55.60	54.17	52.65	51.16	49.44	47.99	45.57	44.31	42.15	39.53	37.47	35.52	33.00	30.38	28.00
	28.00	30.67	33.45	35.59	38.12	39.97	41.80	43.46	45.08	47.39	48.37	50.50	51.42	52.77	54.23	54.73	54.90	54.97	54.99	55.00	55.00	55.00	55.00	54.98	53.98	52.65	51.21	50.46	48.40	47.46	45.36	43.48	41.95	39.53	38.26	35.93	33.36	30.59	28.49	25.00
	28.00	29.42	31.22	33.70	35.70	37.42	39.05	41.38	43.11	44.88	46.31	47.95	48.59	49.84	51.27	51.75	51.91	51.97	51.99	52.00	52.00	52.00	52.00	52.00	50.99	49.66	48.97	47.86	46.32	44.94	42.58	41.52	39.37	37.47	35.93	33.47	30.71	29.32	26.95	25.00
	25.00	26.85	29.27	31.24	32.99	35.35	37.10	38.87	40.50	42.09	43.60	45.14	45.68	47.63	48.47	48.81	48.93	48.97	48.99	49.00	49.00	49.00	49.00	49.00	48.00	47.41	46.35	45.05	43.59	42.13	40.43	38.99	36.59	35.52	33.36	30.71	29.35	27.17	24.53	22.00
	22.00	24.71	26.75	29.25	31.06	32.85	34.49	36.09	38.40	39.37	40.74	42.22	43.48	45.03	45.63	45.86	45.95	45.98	45.99	46.00	46.00	46.00	46.00	46.00	45.75	44.79	43.53	42.15	40.68	39.20	38.41	36.35	34.48	33.00	30.59	29.32	27.17	24.58	23.28	22.00
	22.00	23.43	25.04	26.82	28.47	30.08	32.39	34.12	35.88	36.56	38.58	39.45	40.73	42.19	42.70	42.89	42.96	42.98	42.99	43.00	43.00	43.00	43.00	43.00	42.94	41.93	40.62	39.19	38.47	37.17	35.89	33.56	32.51	30.38	28.49	26.95	24.53	23.28	21.14	19.00
	19.00	22.00	22.00	25.00	25.00	28.00	31.00	31.00	34.00	34.00	37.00	37.00	37.00	40.00	40.00	40.00	40.00	40.00	40.00	40.00	40.00	40.00	40.00	40.00	40.00	40.00	37.00	37.00	37.00	34.00	34.00	31.00	31.00	28.00	25.00	25.00	22.00	22.00	19.00	16.00
