	37.00	40.69	43.66	46.10	48.62	51.12	53.65	56.22	58.64	60.67	62.73	65.01	66.84	68.60	70.47	71.63	72.41	72.77	72.91	72.97	72.99	73.00	72.67	71.60	70.12	68.53	66.87	64.85	62.95	60.74	58.41	56.17	53.67	51.05	48.73	46.22	43.53	40.92	38.33	35.62	32.79	29.89	27.05	24.23	21.56	18.74	15.83	12.91	9.99	7.05	4.47	1.78	-1.06	-3.98	-6.93	-9.90	-12.88	-15.86	-18.67	-21.38	-24.16	-27.03	-29.97	-32.94	-35.93	-38.92	-41.92	-44.82	-47.67	-50.55	-53.48	-56.44	-59.42	-62.41	-65.41	-68.40	-71.40	-74.40	-77.36	-80.31	-83.25	-86.21	-89.19	-92.18	-95.17	-98.17	-101.17	-104.17	-107.17	-110.15	-113.13	-116.11	-119.09	-122.08	-125.07	-128.07	-131.07	-134.07	-137.05	-140.00
	40.00	42.39	44.87	47.40	50.07	52.77	55.50	57.90	60.24	62.58	65.01	67.22	69.06	71.14	72.87	74.25	75.22	75.69	75.88	75.96	75.98	75.99	75.29	74.12	72.67	71.13	69.18	67.05	64.96	62.55	60.36	57.97	55.34	52.77	50.22	47.54	44.75	42.15	39.45	36.65	33.76	30.83	27.90	25.35	22.70	19.89	16.98	14.03	11.07	8.29	5.59	2.81	-0.06	-3.00	-5.96	-8.94	-11.93	-14.92	-17.83	-20.68	-23.56	-26.48	-29.44	-32.42	-35.41	-38.41	-41.41	-44.37	-47.31	-50.25	-53.21	-56.19	-59.18	-62.17	-65.17	-68.17	-71.17	-74.17	-77.15	-80.13	-83.11	-86.09	-89.08	-92.07	-95.07	-98.07	-101.07	-104.07	-107.07	-110.06	-113.05	-116.05	-119.04	-122.03	-125.03	-128.03	-131.03	-134.03	-137.02	-140.00
	40.00	43.25	45.97	48.68	51.47	54.31	56.99	59.41	61.93	64.53	66.84	69.06	71.30	73.55	75.21	76.86	78.03	78.61	78.85	78.94	78.98	78.81	78.01	76.82	75.22	73.45	71.23	69.16	66.85	64.47	62.01	59.41	56.84	54.17	51.44	48.63	46.12	43.51	40.75	37.88	34.96	32.00	29.22	26.54	23.78	20.92	17.99	15.02	12.04	9.15	6.30	3.43	0.50	-2.45	-5.43	-8.42	-11.41	-14.41	-17.37	-20.31	-23.26	-26.22	-29.19	-32.18	-35.17	-38.17	-41.17	-44.16	-47.13	-50.11	-53.09	-56.08	-59.07	-62.07	-65.07	-68.07	-71.07	-74.07	-77.06	-80.06	-83.05	-86.04	-89.03	-92.03	-95.03	-98.03	-101.03	-104.03	-107.03	-110.02	-113.02	-116.02	-119.02	-122.01	-125.01	-128.01	-131.01	-134.01	-137.01	-140.00
	43.00	44.77	47.28	50.04	52.90	55.81	58.27	60.80	63.47	66.05	68.60	71.14	73.55	75.49	77.51	79.48	80.67	81.44	81.78	81.92	81.97	81.71	80.68	79.19	77.58	75.53	73.28	71.09	68.63	66.02	63.34	60.93	58.35	55.61	52.78	50.08	47.42	44.69	41.85	38.94	35.99	33.01	30.12	27.28	24.41	21.49	18.54	15.56	12.57	9.62	6.68	3.74	0.78	-2.20	-5.18	-8.18	-11.17	-14.17	-17.16	-20.14	-23.11	-26.09	-29.08	-32.07	-35.07	-38.07	-41.07	-44.06	-47.06	-50.05	-53.04	-56.03	-59.03	-62.03	-65.03	-68.03	-71.03	-74.03	-77.02	-80.02	-83.02	-86.02	-89.01	-92.01	-95.01	-98.01	-101.01	-104.01	-107.01	-110.01	-113.01	-116.01	-119.01	-122.01	-125.00	-128.00	-131.00	-134.00	-137.00	-140.00
	43.00	45.53	48.25	51.10	54.01	56.77	59.42	62.13	64.93	67.70	70.47	72.87	75.21	77.51	79.92	81.62	83.15	84.19	84.68	84.88	84.96	84.29	83.15	81.52	79.69	77.41	75.28	72.93	70.32	67.57	64.93	62.33	59.61	56.79	53.89	51.05	48.23	45.37	42.46	39.52	36.55	33.56	30.61	27.67	24.73	21.77	18.80	15.81	12.82	9.84	6.86	3.89	0.90	-2.08	-5.08	-8.07	-11.07	-14.07	-17.06	-20.06	-23.05	-26.04	-29.03	-32.03	-35.03	-38.03	-41.03	-44.03	-47.02	-50.02	-53.02	-56.01	-59.01	-62.01	-65.01	-68.01	-71.01	-74.01	-77.01	-80.01	-83.01	-86.01	-89.01	-92.00	-95.00	-98.00	-101.00	-104.00	-107.00	-110.00	-113.00	-116.00	-119.00	-122.00	-125.00	-128.00	-131.00	-134.00	-137.00	-140.00
	43.00	45.84	48.71	51.63	54.58	57.46	60.29	63.14	66.03	68.93	71.63	74.25	76.86	79.48	81.62	83.69	85.64	86.95	87.58	87.84	87.76	87.00	85.45	83.76	81.66	79.37	76.97	74.38	71.64	68.79	65.98	63.18	60.33	57.44	54.50	51.57	48.64	45.71	42.76	39.79	36.81	33.82	30.83	27.86	24.88	21.90	18.92	15.92	12.93	9.93	6.94	3.95	0.96	-2.03	-5.03	-8.03	-11.03	-14.03	-17.03	-20.02	-23.02	-26.02	-29.01	-32.01	-35.01	-38.01	-41.01	-44.01	-47.01	-50.01	-53.01	-56.01	-59.00	-62.00	-65.00	-68.00	-71.00	-74.00	-77.00	-80.00	-83.00	-86.00	-89.00	-92.00	-95.00	-98.00	-101.00	-104.00	-107.00	-110.00	-113.00	-116.00	-119.00	-122.00	-125.00	-128.00	-131.00	-134.00	-137.00	-140.00
	43.00	45.95	48.90	51.86	54.84	57.79	60.71	63.65	66.59	69.55	72.41	75.22	78.03	80.67	83.15	85.64	87.91	89.42	90.35	90.75	90.63	89.47	87.72	85.62	83.21	80.64	77.98	75.21	72.36	69.44	66.53	63.62	60.70	57.75	54.78	51.81	48.84	45.87	42.90	39.91	36.92	33.92	30.93	27.94	24.95	21.96	18.97	15.97	12.97	9.97	6.98	3.98	0.98	-2.01	-5.01	-8.01	-11.01	-14.01	-17.01	-20.01	-23.01	-26.01	-29.01	-32.00	-35.00	-38.00	-41.00	-44.00	-47.00	-50.00	-53.00	-56.00	-59.00	-62.00	-65.00	-68.00	-71.00	-74.00	-77.00	-80.00	-83.00	-86.00	-89.00	-92.00	-95.00	-98.00	-101.00	-104.00	-107.00	-110.00	-113.00	-116.00	-119.00	-122.00	-125.00	-128.00	-131.00	-134.00	-137.00	-140.00
	43.00	45.98	48.96	51.95	54.94	57.92	60.89	63.86	66.84	69.82	72.77	75.69	78.61	81.44	84.19	86.95	89.42	91.44	92.71	93.49	92.93	91.34	89.20	86.75	84.10	81.34	78.51	75.63	72.71	69.76	66.80	63.83	60.87	57.89	54.91	51.92	48.93	45.95	42.96	39.96	36.97	33.97	30.97	27.98	24.98	21.98	18.99	15.99	12.99	9.99	6.99	3.99	0.99	-2.01	-5.00	-8.00	-11.00	-14.00	-17.00	-20.00	-23.00	-26.00	-29.00	-32.00	-35.00	-38.00	-41.00	-44.00	-47.00	-50.00	-53.00	-56.00	-59.00	-62.00	-65.00	-68.00	-71.00	-74.00	-77.00	-80.00	-83.00	-86.00	-89.00	-92.00	-95.00	-98.00	-101.00	-104.00	-107.00	-110.00	-113.00	-116.00	-119.00	-122.00	-125.00	-128.00	-131.00	-134.00	-137.00	-140.00
	43.00	45.99	48.99	51.98	54.98	57.97	60.96	63.95	66.94	69.93	72.91	75.88	78.85	81.78	84.68	87.58	90.35	92.71	94.62	95.06	94.23	92.39	90.00	87.35	84.56	81.68	78.77	75.83	72.87	69.89	66.91	63.93	60.94	57.95	54.96	51.97	48.97	45.98	42.98	39.98	36.99	33.99	30.99	27.99	24.99	21.99	18.99	16.00	13.00	10.00	7.00	4.00	1.00	-2.00	-5.00	-8.00	-11.00	-14.00	-17.00	-20.00	-23.00	-26.00	-29.00	-32.00	-35.00	-38.00	-41.00	-44.00	-47.00	-50.00	-53.00	-56.00	-59.00	-62.00	-65.00	-68.00	-71.00	-74.00	-77.00	-80.00	-83.00	-86.00	-89.00	-92.00	-95.00	-98.00	-101.00	-104.00	-107.00	-110.00	-113.00	-116.00	-119.00	-122.00	-125.00	-128.00	-131.00	-134.00	-137.00	-140.00
	43.00	46.00	49.00	51.99	54.99	57.99	60.99	63.98	66.98	69.97	72.97	75.96	78.94	81.92	84.88	87.84	90.75	93.49	95.06	95.42	94.51	92.75	90.34	87.63	84.77	81.85	78.89	75.92	72.94	69.96	66.96	63.97	60.98	57.98	54.98	51.99	48.99	45.99	42.99	39.99	36.99	34.00	31.00	28.00	25.00	22.00	19.00	16.00	13.00	10.00	7.00	4.00	1.00	-2.00	-5.00	-8.00	-11.00	-14.00	-17.00	-20.00	-23.00	-26.00	-29.00	-32.00	-35.00	-38.00	-41.00	-44.00	-47.00	-50.00	-53.00	-56.00	-59.00	-62.00	-65.00	-68.00	-71.00	-74.00	-77.00	-80.00	-83.00	-86.00	-89.00	-92.00	-95.00	-98.00	-101.00	-104.00	-107.00	-110.00	-113.00	-116.00	-119.00	-122.00	-125.00	-128.00	-131.00	-134.00	-137.00	-140.00
